opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
25YKPHX8,Donn Cantrell,Gtx Basic,Kan-Code,Won,2016-11-21,2017-03-21,462.0
BXXMA7F3,Hayden Neloms,Mg Advanced,Nam-Zim,Lost,2016-11-21,2017-03-01,0.0
GIUUTBXM,Kary Hendrixson,Gtx Pro,Y-Corporation,Won,2016-11-21,2017-03-14,5539.0
MFX2LR1Q,Lajuana Vencill,Mg Advanced,Ron-Tech,Won,2016-11-21,2017-03-15,3573.0
DUHE9FLY,Marty Freudenburg,Gtx Pro,Conecom,Won,2016-11-21,2017-03-01,4926.0
96BSG7R1,Zane Levy,Gtx Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0
7FQMSWIX,Corliss Cosme,Mg Special,Bioplex,Won,2016-11-22,2017-03-04,62.0
C20AVXN7,Darcel Schlecht,Gtx Pro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0
GS1QVWCR,Kami Bicknell,Gtx Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0
ZWH8FXY3,Marty Freudenburg,Gtx Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0
2U94Y3Q9,Rosie Papadopoulos,Mg Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0
AAR79NOO,Versie Hillebrand,Mg Special,Codehow,Won,2016-11-22,2017-03-11,51.0
B6B0PNR2,Vicki Laflamme,Gtx Pro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0
M7I5O9YU,Corliss Cosme,Gtx Basic,Cheers,Engaging,2016-11-23,,
LXZA2OSZ,Corliss Cosme,Gtx Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0
N0ONCYVZ,Donn Cantrell,Mg Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0
GYB4W2AU,Elease Gluck,Mg Advanced,,Engaging,2016-11-23,,
513DPFX5,Gladys Colclough,Gtx Pro,Codehow,Won,2016-11-23,2017-03-03,4438.0
RU023K5W,Gladys Colclough,Mg Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0
VDIU10RV,Markita Hansen,Mg Special,Lexiqvolax,Engaging,2016-11-23,,
BZCBQ514,Markita Hansen,Gtx Basic,Y-Corporation,Won,2016-11-23,2017-03-01,523.0
HEE6P0QH,Anna Snelling,Mg Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0
L8CHRJ2B,Cassey Cress,Mg Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0
579LZ3F9,Daniell Hammack,Gtx Plus Basic,J-Texon,Engaging,2016-11-24,,
SU8JNMP4,Kami Bicknell,Gtx Plus Basic,Bubba Gump,Engaging,2016-11-24,,
V2X2KMUR,Kami Bicknell,Gtx Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0
AJIPJP75,Marty Freudenburg,Gtx Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0
NYVA2G6U,Versie Hillebrand,Mg Special,Dontechi,Won,2016-11-24,2017-03-02,57.0
FF45BXTL,Vicki Laflamme,Mg Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0
TTA9LYBS,Anna Snelling,Mg Special,Treequote,Won,2016-11-25,2017-03-01,58.0
PAGZQH8L,Cecily Lampkin,Mg Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0
J7YF6DS7,Corliss Cosme,Gtx Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0
S5IXY4Z9,Corliss Cosme,Gtx Pro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0
JQBJMETQ,Darcel Schlecht,Mg Special,Domzoom,Won,2016-11-25,2017-03-27,49.0
0LVWSWEW,Violet Mclelland,Mg Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0
K53BC1T9,Anna Snelling,Mg Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0
D40N5I9Y,Darcel Schlecht,Gtx Pro,Finhigh,Won,2016-11-26,2017-03-08,4739.0
051QTX8Z,Niesha Huffines,Gtx Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0
5D2XH04S,Reed Clapper,Mg Special,Plussunin,Won,2016-11-26,2017-03-12,57.0
V9E582SK,Garret Kinder,Gtx Basic,Konex,Won,2016-11-27,2017-03-16,469.0
UK0LEZRJ,Kary Hendrixson,Gtx Basic,Condax,Won,2016-11-27,2017-03-03,532.0
PFFHM7HR,Markita Hansen,Mg Advanced,Opentech,Engaging,2016-11-27,,
IT10CFQH,Rosalina Dieter,Gtx Basic,Konex,Won,2016-11-27,2017-03-26,538.0
8VKD2CCH,Rosie Papadopoulos,Gtx Pro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0
2XQAKBXH,Zane Levy,Gtx Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0
7G7YLGJO,Zane Levy,Gtx Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0
GCA97W27,Darcel Schlecht,Gtx Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0
K8FUZHOG,Kary Hendrixson,Gtx Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0
5WJZMULK,Maureen Marcano,Gtx Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0
ZPYD4T9W,Versie Hillebrand,Mg Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0
KE9ZEDS8,Gladys Colclough,Mg Special,Scottech,Won,2016-11-29,2017-03-07,57.0
7KK0HQ4C,Lajuana Vencill,Mg Special,Ron-Tech,Lost,2016-11-29,2017-03-28,0.0
FP7014Z0,Lajuana Vencill,Gtx Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0
N4HFHDMW,Wilburn Farren,Mg Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0
2HFLKREC,Cassey Cress,Mg Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0
7JVTTVCO,Violet Mclelland,Gtx Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0
3X13866U,Anna Snelling,Gtx Plus Basic,Dambase,Lost,2016-12-01,2017-03-06,0.0
7LE19SYE,Cassey Cress,Mg Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0
J5V2M7Y1,Corliss Cosme,Gtx Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0
41MURAI5,Corliss Cosme,Gtx Basic,Konex,Won,2016-12-01,2017-03-28,590.0
QHI8WRIA,Darcel Schlecht,Gtx Pro,Dontechi,Won,2016-12-01,2017-03-30,4511.0
AJXAXV4W,Lajuana Vencill,Mg Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0.0
VPDXX5PJ,Niesha Huffines,Gtx Basic,Cancity,Won,2016-12-01,2017-03-26,546.0
PZB9NUK8,Vicki Laflamme,Mg Special,Y-Corporation,Won,2016-12-01,2017-03-05,46.0
A0ANOYPF,Darcel Schlecht,Gtx Pro,Ron-Tech,Won,2016-12-02,2017-03-09,4891.0
0P4AAPYX,Hayden Neloms,Gtx Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0
O6T5WC3W,Hayden Neloms,Gtx Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0
0NO04P6C,Hayden Neloms,Mg Special,Nam-Zim,Won,2016-12-02,2017-03-04,59.0
22OFSXBT,Jonathan Berthelot,Gtx Pro,Statholdings,Won,2016-12-02,2017-03-30,5406.0
MRXZTMM6,Kary Hendrixson,Gtx Basic,Cheers,Won,2016-12-02,2017-03-20,515.0
LGI8QEC2,Moses Frase,Gtx Basic,Treequote,Won,2016-12-02,2017-03-06,583.0
6KZ0NCFX,Versie Hillebrand,Mg Special,Funholding,Won,2016-12-02,2017-03-14,54.0
3SF8O9S6,Vicki Laflamme,Mg Special,Plusstrip,Won,2016-12-02,2017-03-27,60.0
CNM0H9FR,Zane Levy,Gtx Basic,,Engaging,2016-12-02,,
XK668R7C,Darcel Schlecht,Gtx Basic,Dontechi,Lost,2016-12-03,2017-03-12,0.0
TZCAQWL3,Darcel Schlecht,Gtx Pro,Funholding,Lost,2016-12-03,2017-03-19,0.0
BADC6A9H,Darcel Schlecht,Gtx Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516.0
B8E0UUZR,Darcel Schlecht,Gtx Pro,Rangreen,Won,2016-12-03,2017-03-22,4829.0
I043RXJV,Moses Frase,Gtx Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0
MWWB44CC,Reed Clapper,Gtx Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950.0
HBTINPDG,Vicki Laflamme,Gtx Plus Basic,Xx-Holding,Lost,2016-12-03,2017-03-09,0.0
DZ3KHZSX,Corliss Cosme,Gtx Basic,Initech,Won,2016-12-04,2017-03-20,513.0
3W1K7X5F,Darcel Schlecht,Gtx Pro,Condax,Lost,2016-12-04,2017-03-09,0.0
45A57X68,Darcel Schlecht,Gtx Plus Pro,Ron-Tech,Won,2016-12-04,2017-03-12,5522.0
9SLYC4TR,Gladys Colclough,Mg Special,Cancity,Won,2016-12-04,2017-03-09,56.0
JLWKWQYC,James Ascencio,Gtx Pro,Doncon,Won,2016-12-04,2017-03-08,5673.0
7QC6FOKW,Kami Bicknell,Gtx Basic,Xx-Holding,Won,2016-12-04,2017-03-10,598.0
XA184CMW,Marty Freudenburg,Gtx Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787.0
S0N7BYU3,Maureen Marcano,Gtx Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070.0
6WOMHAJM,Boris Faz,Mg Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677.0
G1QGATKV,Cassey Cress,Gtx Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425.0
UAE5ZC7O,Daniell Hammack,Gtx Plus Pro,,Engaging,2016-12-05,,
6XFVQI32,Donn Cantrell,Mg Advanced,Yearin,Won,2016-12-05,2017-03-23,3415.0
JUCNIG4H,James Ascencio,Gtx Basic,,Engaging,2016-12-05,,
OGD4MDJ9,Maureen Marcano,Gtx Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0
4NGBUZWJ,Lajuana Vencill,Gtx Basic,Codehow,Won,2016-12-06,2017-03-12,609.0
EFG5DGV5,Markita Hansen,Mg Special,Plusstrip,Won,2016-12-06,2017-03-16,54.0
82MM4H33,Zane Levy,Gtx Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049.0
14PM641K,Cassey Cress,Gtx Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0
DSBGHOPN,Daniell Hammack,Mg Special,Plussunin,Lost,2016-12-07,2017-03-20,0.0
1YSOZLHF,Daniell Hammack,Gtx Pro,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799.0
E8RP9FRW,Gladys Colclough,Mg Special,Dambase,Won,2016-12-07,2017-03-12,51.0
787IRG9Q,Hayden Neloms,Mg Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426.0
0TUS4NAC,Jonathan Berthelot,Mg Special,Rangreen,Won,2016-12-07,2017-03-11,51.0
FAJTQMUM,Kami Bicknell,Gtx Basic,Finjob,Won,2016-12-07,2017-03-20,564.0
TWF0J0DF,Cecily Lampkin,Gtx Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882.0
ICMXZOVL,Daniell Hammack,Gtx Pro,Stanredtax,Engaging,2016-12-08,,
UQ14O415,Donn Cantrell,Gtx Pro,Plussunin,Won,2016-12-08,2017-03-20,5059.0
IBEUTCSW,James Ascencio,Mg Advanced,,Engaging,2016-12-08,,
O3KC8QI8,Kami Bicknell,Gtx Plus Basic,,Engaging,2016-12-08,,
BOJSLNDG,Kami Bicknell,Mg Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388.0
WALNFJ70,Kary Hendrixson,Gtx Plus Pro,,Engaging,2016-12-08,,
DASMR0EK,Markita Hansen,Gtx Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410.0
A76M0OOH,Reed Clapper,Gtx Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978.0
E1VKE2PH,Vicki Laflamme,Mg Special,Scotfind,Won,2016-12-08,2017-03-26,54.0
SKY95DVG,Anna Snelling,Mg Special,Betatech,Lost,2016-12-09,2017-03-22,0.0
V5OK4V5I,Cassey Cress,Gtx Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549.0
GJ4L5HHN,Corliss Cosme,Gtx Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034.0
9R8JWY3J,Donn Cantrell,Gtx Pro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998.0
0EOFVU05,Donn Cantrell,Mg Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421.0
HNHOPL7M,Kary Hendrixson,Gtx Plus Pro,Doncon,Won,2016-12-09,2017-03-04,5425.0
Y0NYI17R,Vicki Laflamme,Mg Special,Dalttechnology,Won,2016-12-09,2017-03-15,55.0
R4F4RGAL,Violet Mclelland,Mg Advanced,Silis,Won,2016-12-09,2017-03-14,3558.0
MNVMY83P,Cassey Cress,Gtx Pro,Plussunin,Engaging,2016-12-10,,
0ZHLQFGU,Kami Bicknell,Gtx Pro,Blackzim,Won,2016-12-10,2017-03-22,4839.0
40DPY158,Markita Hansen,Mg Special,Hottechi,Won,2016-12-10,2017-03-25,47.0
DP9E525R,Maureen Marcano,Gtx Plus Basic,Fasehatice,Won,2016-12-10,2017-03-24,1007.0
DBDUMQQK,Niesha Huffines,Mg Special,Inity,Won,2016-12-10,2017-03-24,48.0
CNBN12RL,Versie Hillebrand,Mg Special,Treequote,Won,2016-12-10,2017-03-07,49.0
OXL0YWEE,Violet Mclelland,Gtx Basic,Mathtouch,Won,2016-12-10,2017-03-18,504.0
ZOBJHMAF,Cassey Cress,Mg Advanced,,Engaging,2016-12-11,,
KD6MB4AP,Elease Gluck,Mg Special,,Engaging,2016-12-11,,
5CSSZJF4,Jonathan Berthelot,Gtx Basic,Finhigh,Won,2016-12-11,2017-03-21,543.0
0XG8TOJF,Kary Hendrixson,Gtx Plus Pro,Fasehatice,Lost,2016-12-11,2017-03-18,0.0
IIS0O91J,Kary Hendrixson,Gtx Pro,Fasehatice,Won,2016-12-11,2017-03-28,5149.0
2LP5SUR5,Lajuana Vencill,Gtx Basic,Treequote,Lost,2016-12-11,2017-03-09,0.0
PYZZ3IS6,Markita Hansen,Gtx Plus Basic,Blackzim,Won,2016-12-11,2017-03-11,1043.0
5I4K5TQE,Cassey Cress,Gtx Plus Pro,Sumace,Lost,2016-12-12,2017-03-09,0.0
RV3LPOYP,James Ascencio,Gtx Basic,Condax,Won,2016-12-12,2017-03-29,437.0
A194RP0I,Rosalina Dieter,Mg Advanced,,Engaging,2016-12-12,,
1HVNTEPV,Rosie Papadopoulos,Gtx Pro,Kinnamplus,Won,2016-12-12,2017-03-11,4465.0
LC85AQ1I,Vicki Laflamme,Gtx Basic,Konex,Won,2016-12-12,2017-03-18,443.0
TBV972NP,Violet Mclelland,Mg Special,Sumace,Lost,2016-12-12,2017-03-23,0.0
EJMX0EIJ,Darcel Schlecht,Gtx Plus Pro,Betatech,Won,2016-12-13,2017-03-20,4278.0
VR9NYBOV,Garret Kinder,Mg Special,Kinnamplus,Won,2016-12-13,2017-03-06,41.0
3U25FK08,Jonathan Berthelot,Gtx Basic,Isdom,Won,2016-12-13,2017-03-28,519.0
KV2OFRJT,Kami Bicknell,Gtx Pro,,Engaging,2016-12-13,,
CRLK4Z1P,Maureen Marcano,Gtx Basic,Kan-Code,Won,2016-12-13,2017-03-04,524.0
OGENAT0L,Zane Levy,Gtx Basic,Singletechno,Won,2016-12-13,2017-03-27,552.0
F57JWIDF,Gladys Colclough,Gtx Plus Basic,Konmatfix,Won,2016-12-14,2017-03-02,970.0
ERFRHR3Z,Hayden Neloms,Mg Advanced,,Engaging,2016-12-14,,
J53D8EOL,Kary Hendrixson,Gtx Plus Basic,Hottechi,Engaging,2016-12-14,,
LF8JZ3Q5,Kary Hendrixson,Gtx Plus Basic,Hatfan,Won,2016-12-14,2017-03-13,1046.0
MRGBSMQ5,Kary Hendrixson,Gtx Plus Basic,Sunnamplex,Won,2016-12-14,2017-03-14,988.0
CBAV8ZJL,Lajuana Vencill,Gtx Basic,Codehow,Won,2016-12-14,2017-03-22,547.0
J32XDDAW,Markita Hansen,Gtx Basic,,Engaging,2016-12-14,,
NN4DWBVN,Maureen Marcano,Gtx Pro,Singletechno,Lost,2016-12-14,2017-03-04,0.0
6JXHEZYK,Versie Hillebrand,Mg Special,Isdom,Won,2016-12-14,2017-03-31,54.0
WDHNR2EI,Violet Mclelland,Mg Special,Silis,Won,2016-12-14,2017-03-20,57.0
4K750D6F,Violet Mclelland,Mg Special,Yearin,Won,2016-12-14,2017-03-18,55.0
94GI0ZJ7,Anna Snelling,Gtx Plus Pro,Stanredtax,Won,2016-12-15,2017-03-15,5765.0
TODG6DEK,Daniell Hammack,Gtx Basic,Bioplex,Won,2016-12-15,2017-03-16,639.0
G0ECB8FS,Kary Hendrixson,Gtx Pro,Labdrill,Won,2016-12-15,2017-03-15,5100.0
1ZDDZD8B,Markita Hansen,Mg Special,,Engaging,2016-12-15,,
96MZYUY0,Vicki Laflamme,Gtx Pro,Fasehatice,Won,2016-12-15,2017-03-07,4906.0
EZVKSQ9C,Boris Faz,Gtx Plus Pro,Genco Pura Olive Oil Company,Engaging,2016-12-16,,
RJYG004O,Daniell Hammack,Gtx Basic,Domzoom,Engaging,2016-12-16,,
JZOKHHWN,Donn Cantrell,Gtx Plus Basic,Opentech,Won,2016-12-16,2017-03-07,1037.0
EH6I67I0,James Ascencio,Gtx Basic,Plexzap,Won,2016-12-16,2017-03-15,537.0
JUUXF02Z,Kary Hendrixson,Gtx Pro,Hatfan,Won,2016-12-16,2017-03-09,4694.0
OT87JDWO,Lajuana Vencill,Gtx Basic,Konmatfix,Won,2016-12-16,2017-03-24,560.0
YHKT6YJ7,Moses Frase,Gtx Basic,Dambase,Won,2016-12-16,2017-03-13,589.0
H78I3TAY,Reed Clapper,Gtx Basic,Mathtouch,Won,2016-12-16,2017-03-14,493.0
1ROC43JK,Versie Hillebrand,Mg Special,Betatech,Won,2016-12-16,2017-03-08,50.0
LPZLQL48,Vicki Laflamme,Gtx Basic,Y-Corporation,Won,2016-12-16,2017-03-28,492.0
PYOFK7ZD,Cassey Cress,Gtx Basic,,Engaging,2016-12-17,,
DWUXMAGZ,Corliss Cosme,Gtx Plus Pro,,Engaging,2016-12-17,,
3KR50X38,Corliss Cosme,Gtx Plus Basic,Konex,Won,2016-12-17,2017-03-13,1255.0
Q3WLHRE9,Darcel Schlecht,Gtx Basic,Statholdings,Won,2016-12-17,2017-03-04,463.0
IX7UEOAP,Donn Cantrell,Gtx Plus Basic,Initech,Lost,2016-12-17,2017-03-27,0.0
NQU62K1H,Donn Cantrell,Gtx Basic,Zencorporation,Won,2016-12-17,2017-03-12,605.0
NAQKOU0T,Hayden Neloms,Gtx Plus Basic,Fasehatice,Won,2016-12-17,2017-03-20,1315.0
I3V3GUAI,Lajuana Vencill,Gtx Basic,Zumgoity,Won,2016-12-17,2017-03-02,559.0
PN4VJDXY,Moses Frase,Gtx Basic,Rundofase,Won,2016-12-17,2017-03-28,557.0
K9D4DQ3R,Rosie Papadopoulos,Mg Special,Vehement Capital Partners,Won,2016-12-17,2017-03-02,48.0
9X6V79KE,Versie Hillebrand,Gtx Plus Pro,Isdom,Won,2016-12-17,2017-03-25,6282.0
6SN2RQJX,Vicki Laflamme,Mg Special,,Engaging,2016-12-17,,
W1KLFNE4,Anna Snelling,Mg Advanced,Isdom,Won,2016-12-18,2017-03-02,3246.0
NKPH3EFG,Cassey Cress,Mg Advanced,,Engaging,2016-12-18,,
GD2OCW12,Darcel Schlecht,Gtx Basic,Finhigh,Won,2016-12-18,2017-03-14,514.0
6XO4RYXK,Donn Cantrell,Gtx Plus Basic,Silis,Won,2016-12-18,2017-03-15,1132.0
18Y7GRPW,Garret Kinder,Gtx Plus Pro,Silis,Won,2016-12-18,2017-03-21,5918.0
127ZPLXQ,Kary Hendrixson,Gtx Pro,Hottechi,Lost,2016-12-18,2017-03-18,0.0
U07C2HEG,Maureen Marcano,Mg Special,Kan-Code,Lost,2016-12-18,2017-03-14,0.0
RNTOJ78L,Rosalina Dieter,Mg Special,Hatfan,Lost,2016-12-18,2017-03-13,0.0
N07K7DR7,Rosie Papadopoulos,Mg Special,Plexzap,Engaging,2016-12-18,,
NLB4D5BQ,Versie Hillebrand,Mg Advanced,Gogozoom,Won,2016-12-18,2017-03-24,2955.0
FCFDJIEZ,Vicki Laflamme,Gtx Pro,Fasehatice,Won,2016-12-18,2017-03-21,3742.0
